Correspondent Loan Number,Income (Monthly),Loan Purpose,Impound Type,Loan Type,Property Address,Property City,Property State,Property Zip Code,Borrower First Name,Borrower Last Name,FICO Score,Original Loan Amount,Base Loan Amount,Loan Term,Product Code,Occupancy Type,Amortization Type,Unpaid Principal Balance,Appraised Value,Sales Price,Property Indicator,Note Rate,LTV,CLTV,FICO Score,Property Type,Units,Purpose of Refinance,Cash Out Amount,Subordinate Amount,FTHB Waiver,Doc Type,Interest Only,DTI,Harp Indicator,High Balance Indicator,Underwriting System Code,Note Date,First Payment Date,Amortization Term,TPO,Appraisal Waiver
SAIKAT_18_FEB_001,2001,Refinance,NoImpounds,Conventional,14434 Andover Birch Drive,Rosharon,TX,77583,Fdeepika_18_FEB_003,Ldeepika_18_FEB_003,794,150001,150001,360 months,214_25/30 Yr Freddie Mac Fixed,Second Home,Fixed,318750,425000,425000,Attached,6.5,75,75,794,PUD,Condo >4 Stories,,,0,Y,Full / Alt Doc,N,50,,,LP/LPI,44886,44562,,N,
SAIKAT_18_FEB_002,2001,Refinance,Ins only,Conventional,14435 Andover Birch Drive,Rosharon,TX,77583,Fdeepika_18_FEB_004,Ldeepika_18_FEB_004,794,150002,150002,360 months,214_25/30 Yr Freddie Mac Fixed,Second Home,Fixed,318750,425000,425000,Attached,6.5,75,75,794,PUD,Condo >4 Stories,,,0,Y,Full / Alt Doc,N,50,,,LP/LPI,44886,44562,,N,
SAIKAT_18_FEB_003,2001,Refinance,Taxes only,Conventional,14436 Andover Birch Drive,Rosharon,TX,77583,Fdeepika_18_FEB_005,Ldeepika_18_FEB_005,794,150004,150004,360 months,214_25/30 Yr Freddie Mac Fixed,Second Home,Fixed,318750,425000,425000,Attached,6.5,75,75,794,PUD,Condo >4 Stories,,,0,Y,Full / Alt Doc,N,50,,,LP/LPI,44886,44562,,N,
SAIKAT_18_FEB_004,2001,Refinance,Ins only,Conventional,14437 Andover Birch Drive,Rosharon,TX,77583,Fdeepika_18_FEB_006,Ldeepika_18_FEB_006,794,150006,150006,360 months,214_25/30 Yr Freddie Mac Fixed,Second Home,Fixed,318750,425000,425000,Attached,6.5,75,75,794,PUD,Condo >4 Stories,,,0,Y,Full / Alt Doc,N,50,,,LP/LPI,44886,44562,,N,
SAIKAT_18_FEB_005,2001,Refinance,Taxes and I,Conventional,14438 Andover Birch Drive,Rosharon,TX,77583,Fdeepika_18_FEB_007,Ldeepika_18_FEB_007,794,150007,150007,360 months,214_25/30 Yr Freddie Mac Fixed,Second Home,Fixed,318750,425000,425000,Attached,6.5,75,75,794,PUD,Condo >4 Stories,,,0,Y,Full / Alt Doc,N,50,,,LP/LPI,44886,44562,,N,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
